Id,Weekly_Sales
1_3_2013-06-07,9908.592
1_3_2013-06-14,9476.701
1_3_2013-06-21,9981.581
1_3_2013-06-28,11372.752
1_3_2013-07-05,10051.158
1_3_2013-07-12,15282.2
1_3_2013-07-19,22676.586
1_3_2013-07-26,26815.418
1_4_2012-11-02,38469.293
1_4_2012-11-09,37036.555
1_4_2012-11-16,38472.664
1_4_2012-11-23,49277.88
1_4_2012-11-30,39476.86
1_4_2012-12-07,40935.23
1_4_2012-12-14,41173.863
1_4_2012-12-21,47475.49
1_4_2012-12-28,38383.957
1_4_2013-01-04,41699.06
1_4_2013-01-11,37384.0
1_4_2013-01-18,37526.95
1_4_2013-01-25,35040.133
1_4_2013-02-01,40325.133
1_4_2013-02-08,41425.766
1_4_2013-02-15,36737.504
1_4_2013-02-22,36886.18
1_4_2013-03-01,39125.35
1_4_2013-03-08,36736.844
1_4_2013-03-15,37507.457
1_4_2013-03-22,35842.473
1_4_2013-03-29,35731.535
1_4_2013-04-05,37291.387
1_4_2013-04-12,36078.145
1_4_2013-04-19,36794.086
1_4_2013-04-26,36027.465
1_4_2013-05-03,38580.742
1_4_2013-05-10,35278.57
1_4_2013-05-17,36817.184
1_4_2013-05-24,37902.082
1_4_2013-05-31,38675.168
1_4_2013-06-07,38933.094
1_4_2013-06-14,37464.82
1_4_2013-06-21,37866.703
1_4_2013-06-28,39236.105
1_4_2013-07-05,40574.812
1_4_2013-07-12,36300.17
1_4_2013-07-19,36513.17
1_4_2013-07-26,37543.09
1_5_2012-11-02,24528.607
1_5_2012-11-09,28571.658
1_5_2012-11-16,26854.223
1_5_2012-11-23,77050.52
1_5_2012-11-30,27744.686
1_5_2012-12-07,40370.168
1_5_2012-12-14,40059.242
1_5_2012-12-21,66551.34
1_5_2012-12-28,33278.56
1_5_2013-01-04,25548.312
1_5_2013-01-11,21286.443
1_5_2013-01-18,23131.947
1_5_2013-01-25,23155.082
1_5_2013-02-01,31959.465
1_5_2013-02-08,38920.82
1_5_2013-02-15,41992.074
1_5_2013-02-22,28700.377
1_5_2013-03-01,30249.26
1_5_2013-03-08,28020.855
1_5_2013-03-15,28124.89
1_5_2013-03-22,24852.176
1_5_2013-03-29,26038.24
1_5_2013-04-05,25052.135
1_5_2013-04-12,20505.402
1_5_2013-04-19,18133.625
1_5_2013-04-26,18853.63
1_5_2013-05-03,18821.129
1_5_2013-05-10,19335.078
1_5_2013-05-17,19245.492
1_5_2013-05-24,19899.123
1_5_2013-05-31,20149.375
1_5_2013-06-07,24072.396
1_5_2013-06-14,24515.637
1_5_2013-06-21,23933.824
1_5_2013-06-28,21452.48
1_5_2013-07-05,22681.594
1_5_2013-07-12,17842.674
1_5_2013-07-19,19858.748
1_5_2013-07-26,19585.07
1_6_2012-11-02,4193.244
1_6_2012-11-09,3999.023
1_6_2012-11-16,4982.6875
1_6_2012-11-23,18113.87
1_6_2012-11-30,2888.201
1_6_2012-12-07,6918.852
1_6_2012-12-14,9347.862
1_6_2012-12-21,18840.355
1_6_2012-12-28,7066.266
1_6_2013-01-04,5120.2163
1_6_2013-01-11,2311.807
1_6_2013-01-18,2159.0774
1_6_2013-01-25,2349.7974
1_6_2013-02-01,4844.6562
1_6_2013-02-08,6444.2354
1_6_2013-02-15,4767.3013
1_6_2013-02-22,3745.484
1_6_2013-03-01,3857.35
1_6_2013-03-08,3610.5134
1_6_2013-03-15,5472.32
1_6_2013-03-22,3928.2195
1_6_2013-03-29,2965.372
1_6_2013-04-05,4145.203
1_6_2013-04-12,4597.0776
1_6_2013-04-19,4086.526
1_6_2013-04-26,4246.5234
1_6_2013-05-03,5773.5527
1_6_2013-05-10,6244.7046
1_6_2013-05-17,5863.5693
1_6_2013-05-24,5600.59
1_6_2013-05-31,4606.9087
1_6_2013-06-07,4748.373
1_6_2013-06-14,5106.9565
1_6_2013-06-21,5190.286
1_6_2013-06-28,4072.7896
1_6_2013-07-05,5321.4243
1_6_2013-07-12,2485.1807
1_6_2013-07-19,3919.8623
1_6_2013-07-26,4530.0903
1_7_2012-11-02,23139.762
1_7_2012-11-09,21043.156
1_7_2012-11-16,22984.125
1_7_2012-11-23,73068.88
1_7_2012-11-30,40461.41
1_7_2012-12-07,69104.21
1_7_2012-12-14,74875.1
1_7_2012-12-21,137671.1
1_7_2012-12-28,39973.22
1_7_2013-01-04,16327.471
1_7_2013-01-11,13389.812
1_7_2013-01-18,12834.339
1_7_2013-01-25,13569.836
1_7_2013-02-01,17952.633
1_7_2013-02-08,22185.264
1_7_2013-02-15,19736.94
1_7_2013-02-22,18017.686
1_7_2013-03-01,18496.742
1_7_2013-03-08,16988.143
1_7_2013-03-15,21713.352
1_7_2013-03-22,18509.36
1_7_2013-03-29,17522.45
1_7_2013-04-05,22449.885
1_7_2013-04-12,20431.896
1_7_2013-04-19,18788.879
1_7_2013-04-26,17475.016
1_7_2013-05-03,20295.744
1_7_2013-05-10,18954.6
1_7_2013-05-17,21342.115
1_7_2013-05-24,27087.875
1_7_2013-05-31,33566.613
1_7_2013-06-07,28085.371
1_7_2013-06-14,25302.17
1_7_2013-06-21,24614.191
1_7_2013-06-28,25652.172
1_7_2013-07-05,24764.861
1_7_2013-07-12,19826.885
1_7_2013-07-19,20099.703
1_7_2013-07-26,19723.654
1_8_2012-11-02,44170.547
1_8_2012-11-09,37894.465
1_8_2012-11-16,38937.695
1_8_2012-11-23,39740.195
1_8_2012-11-30,35858.9
1_8_2012-12-07,33026.63
1_8_2012-12-14,40993.703
1_8_2012-12-21,44355.977
1_8_2012-12-28,33344.195
1_8_2013-01-04,38779.992
1_8_2013-01-11,37872.027
1_8_2013-01-18,37037.875
1_8_2013-01-25,37689.145
1_8_2013-02-01,41863.27
1_8_2013-02-08,41714.605
1_8_2013-02-15,39634.246
1_8_2013-02-22,39154.434
1_8_2013-03-01,42826.902
1_8_2013-03-08,40800.555
1_8_2013-03-15,40244.69
1_8_2013-03-22,36007.062
1_8_2013-03-29,40643.73
1_8_2013-04-05,40357.613
1_8_2013-04-12,37856.54
1_8_2013-04-19,38211.844
1_8_2013-04-26,38345.934
1_8_2013-05-03,40226.914
1_8_2013-05-10,36839.477
1_8_2013-05-17,39208.15
1_8_2013-05-24,37888.6
1_8_2013-05-31,38417.598
1_8_2013-06-07,38830.633
1_8_2013-06-14,39338.594
1_8_2013-06-21,39368.066
1_8_2013-06-28,38588.766
1_8_2013-07-05,40196.688
1_8_2013-07-12,37338.285
1_8_2013-07-19,37855.81
1_8_2013-07-26,39730.637
1_9_2012-11-02,45370.61
1_9_2012-11-09,35320.2
1_9_2012-11-16,34970.293
1_9_2012-11-23,47611.58
1_9_2012-11-30,31320.287
1_9_2012-12-07,33150.613
1_9_2012-12-14,36578.36
1_9_2012-12-21,52797.734
1_9_2012-12-28,31699.344
1_9_2013-01-04,22429.201
1_9_2013-01-11,19951.059
1_9_2013-01-18,18274.186
1_9_2013-01-25,19778.418
1_9_2013-02-01,24282.54
1_9_2013-02-08,26127.086
1_9_2013-02-15,25163.19
1_9_2013-02-22,25628.006
1_9_2013-03-01,29012.473
1_9_2013-03-08,28067.832
1_9_2013-03-15,35488.684
1_9_2013-03-22,32788.656
1_9_2013-03-29,31671.008
1_9_2013-04-05,33118.21
1_9_2013-04-12,33954.062
1_9_2013-04-19,30982.148
1_9_2013-04-26,29516.764
1_9_2013-05-03,31312.568
1_9_2013-05-10,27049.059
1_9_2013-05-17,30245.783
1_9_2013-05-24,31541.145
1_9_2013-05-31,34103.96
1_9_2013-06-07,32604.885
1_9_2013-06-14,29765.154
1_9_2013-06-21,30650.578
1_9_2013-06-28,28443.576
1_9_2013-07-05,31366.463
1_9_2013-07-12,23394.076
1_9_2013-07-19,25820.62
1_9_2013-07-26,28729.207
1_10_2012-11-02,33009.996
1_10_2012-11-09,28415.61
1_10_2012-11-16,28693.354
1_10_2012-11-23,34355.727
1_10_2012-11-30,28762.03
1_10_2012-12-07,26061.785
1_10_2012-12-14,31808.3
1_10_2012-12-21,35542.95
1_10_2012-12-28,28612.754
1_10_2013-01-04,29062.037
1_10_2013-01-11,26656.38
1_10_2013-01-18,27427.373
1_10_2013-01-25,26285.219
1_10_2013-02-01,32813.81
1_10_2013-02-08,34872.332
1_10_2013-02-15,33622.285
1_10_2013-02-22,33329.613
1_10_2013-03-01,36610.848
1_10_2013-03-08,34048.24
1_10_2013-03-15,35995.695
1_10_2013-03-22,32427.24
1_10_2013-03-29,31862.064
1_10_2013-04-05,32721.846
1_10_2013-04-12,29593.47
1_10_2013-04-19,28725.387
1_10_2013-04-26,29642.824
1_10_2013-05-03,31774.06
1_10_2013-05-10,28717.45
1_10_2013-05-17,31686.506
1_10_2013-05-24,31832.922
1_10_2013-05-31,34929.883
1_10_2013-06-07,34141.88
1_10_2013-06-14,32628.082
1_10_2013-06-21,33787.36
1_10_2013-06-28,34101.883
1_10_2013-07-05,34878.66
1_10_2013-07-12,31503.592
1_10_2013-07-19,30884.676
1_10_2013-07-26,31748.633
1_11_2012-11-02,26254.227
1_11_2012-11-09,21278.336
1_11_2012-11-16,23483.543
1_11_2012-11-23,29936.783
1_11_2012-11-30,28322.92
1_11_2012-12-07,23039.365
1_11_2012-12-14,28995.021
1_11_2012-12-21,31285.408
1_11_2012-12-28,23742.938
1_11_2013-01-04,28273.412
1_11_2013-01-11,24148.965
1_11_2013-01-18,24313.184
1_11_2013-01-25,20291.18
1_11_2013-02-01,22105.334
1_11_2013-02-08,22728.36
1_11_2013-02-15,21106.895
1_11_2013-02-22,20936.482
1_11_2013-03-01,22881.969
1_11_2013-03-08,20966.729
1_11_2013-03-15,22498.975
1_11_2013-03-22,21624.764
1_11_2013-03-29,21893.553
1_11_2013-04-05,22569.523
1_11_2013-04-12,20094.371
1_11_2013-04-19,20246.396
1_11_2013-04-26,21996.145
1_11_2013-05-03,24285.873
1_11_2013-05-10,21138.65
1_11_2013-05-17,24189.105
1_11_2013-05-24,26167.281
1_11_2013-05-31,35513.156
1_11_2013-06-07,33087.758
1_11_2013-06-14,30717.502
1_11_2013-06-21,33353.344
1_11_2013-06-28,38242.3
1_11_2013-07-05,30899.771
1_11_2013-07-12,31071.22
1_11_2013-07-19,27116.742
1_11_2013-07-26,29621.72
1_12_2012-11-02,11124.26
1_12_2012-11-09,10220.086
1_12_2012-11-16,9038.727
1_12_2012-11-23,11429.12
1_12_2012-11-30,7789.4126
1_12_2012-12-07,7183.869
1_12_2012-12-14,8358.959
1_12_2012-12-21,11397.853
1_12_2012-12-28,9444.286
1_12_2013-01-04,9937.428
1_12_2013-01-11,8284.3
1_12_2013-01-18,8536.441
1_12_2013-01-25,8630.825
1_12_2013-02-01,10438.276
1_12_2013-02-08,12191.762
1_12_2013-02-15,7444.611
1_12_2013-02-22,7688.646
1_12_2013-03-01,9428.031
1_12_2013-03-08,8836.513
1_12_2013-03-15,12202.877
1_12_2013-03-22,10818.022
1_12_2013-03-29,9264.589
1_12_2013-04-05,11175.617
1_12_2013-04-12,9705.12
1_12_2013-04-19,10144.444
1_12_2013-04-26,10838.452
1_12_2013-05-03,11551.146
1_12_2013-05-10,9618.479
1_12_2013-05-17,11157.151
1_12_2013-05-24,11605.506
1_12_2013-05-31,12199.938
1_12_2013-06-07,12142.451
1_12_2013-06-14,11845.307
1_12_2013-06-21,11514.143
1_12_2013-06-28,12402.957
1_12_2013-07-05,13261.52
1_12_2013-07-12,11297.082
1_12_2013-07-19,11679.627
1_12_2013-07-26,12610.568
1_13_2012-11-02,37823.867
1_13_2012-11-09,36958.29
1_13_2012-11-16,35984.926
1_13_2012-11-23,38841.95
1_13_2012-11-30,36064.82
1_13_2012-12-07,35471.293
1_13_2012-12-14,37069.133
1_13_2012-12-21,39451.23
1_13_2012-12-28,36307.824
1_13_2013-01-04,39400.87
1_13_2013-01-11,36196.594
1_13_2013-01-18,35638.125
1_13_2013-01-25,34553.72
1_13_2013-02-01,39208.117
1_13_2013-02-08,41339.0
1_13_2013-02-15,36273.168
1_13_2013-02-22,37099.61
1_13_2013-03-01,39862.582
1_13_2013-03-08,36953.883
1_13_2013-03-15,37584.28
1_13_2013-03-22,36771.734
1_13_2013-03-29,37203.715
1_13_2013-04-05,39278.715
1_13_2013-04-12,36695.89
1_13_2013-04-19,37047.12
1_13_2013-04-26,37666.754
1_13_2013-05-03,39739.81
1_13_2013-05-10,36647.496
1_13_2013-05-17,38144.82
1_13_2013-05-24,38484.516
1_13_2013-05-31,39863.973
1_13_2013-06-07,39444.32
1_13_2013-06-14,38950.555
1_13_2013-06-21,38908.543
1_13_2013-06-28,39896.754
1_13_2013-07-05,40555.395
1_13_2013-07-12,38711.082
1_13_2013-07-19,37854.5
1_13_2013-07-26,38394.695
1_14_2012-11-02,14086.002
1_14_2012-11-09,13962.125
1_14_2012-11-16,18534.959
1_14_2012-11-23,39205.992
1_14_2012-11-30,19124.719
1_14_2012-12-07,22039.252
1_14_2012-12-14,28512.594
1_14_2012-12-21,39858.402
1_14_2012-12-28,23931.535
1_14_2013-01-04,15610.759
1_14_2013-01-11,15444.639
1_14_2013-01-18,14078.977
1_14_2013-01-25,13810.27
1_14_2013-02-01,15817.141
1_14_2013-02-08,19363.152
1_14_2013-02-15,17633.24
1_14_2013-02-22,17405.902
1_14_2013-03-01,17847.229
1_14_2013-03-08,15895.222
1_14_2013-03-15,15657.53
1_14_2013-03-22,13886.233
1_14_2013-03-29,15031.56
1_14_2013-04-05,15872.036
1_14_2013-04-12,13831.076
1_14_2013-04-19,13850.349
1_14_2013-04-26,15130.851
1_14_2013-05-03,15954.8955
1_14_2013-05-10,14798.361
1_14_2013-05-17,15330.251
1_14_2013-05-24,14947.021
1_14_2013-05-31,15102.246
1_14_2013-06-07,13994.073
1_14_2013-06-14,14496.236
1_14_2013-06-21,14461.156
1_14_2013-06-28,14786.27
1_14_2013-07-05,15902.695
1_14_2013-07-12,13165.295
1_14_2013-07-19,11812.401
1_14_2013-07-26,12977.015
1_16_2012-11-02,7294.5737
1_16_2012-11-09,9627.899
1_16_2012-11-16,5636.292
1_16_2012-11-23,7380.439
1_16_2012-11-30,3715.7336
1_16_2012-12-07,6569.1763
1_16_2012-12-14,6535.594
1_16_2012-12-21,7763.358
1_16_2012-12-28,7610.9824
1_16_2013-01-04,8754.41
1_16_2013-01-11,8019.3706
1_16_2013-01-18,6633.5493
1_16_2013-01-25,10093.003
1_16_2013-02-01,13533.412
1_16_2013-02-08,16079.287
1_16_2013-02-15,13347.772
1_16_2013-02-22,13388.073
1_16_2013-03-01,17934.496
1_16_2013-03-08,22130.252
1_16_2013-03-15,33352.832
1_16_2013-03-22,41968.176
1_16_2013-03-29,32750.652
1_16_2013-04-05,42560.207
1_16_2013-04-12,41195.65
1_16_2013-04-19,44543.56
1_16_2013-04-26,38158.383
1_16_2013-05-03,40356.902
1_16_2013-05-10,34799.07
1_16_2013-05-17,37758.418
1_16_2013-05-24,40664.09
1_16_2013-05-31,47427.992
1_16_2013-06-07,36454.973
1_16_2013-06-14,35121.016
1_16_2013-06-21,38007.02
1_16_2013-06-28,37437.336
1_16_2013-07-05,36862.7
1_16_2013-07-12,27867.441
1_16_2013-07-19,24041.7
1_16_2013-07-26,26823.781
1_17_2012-11-02,8736.646
1_17_2012-11-09,8088.3857
1_17_2012-11-16,9818.102
1_17_2012-11-23,14577.844
1_17_2012-11-30,10253.722
1_17_2012-12-07,8312.569
1_17_2012-12-14,12693.541
1_17_2012-12-21,16162.2295
1_17_2012-12-28,13228.174
1_17_2013-01-04,10630.134
1_17_2013-01-11,8247.747
1_17_2013-01-18,8534.92
1_17_2013-01-25,8542.496
1_17_2013-02-01,9947.559
1_17_2013-02-08,12203.932
1_17_2013-02-15,10322.799
1_17_2013-02-22,9106.41
1_17_2013-03-01,11013.533
1_17_2013-03-08,9050.943
1_17_2013-03-15,9885.717
1_17_2013-03-22,7574.757
1_17_2013-03-29,8562.462
1_17_2013-04-05,9433.497
1_17_2013-04-12,6549.5625
1_17_2013-04-19,6625.803
1_17_2013-04-26,8625.571
1_17_2013-05-03,8720.907
1_17_2013-05-10,7382.4023
1_17_2013-05-17,9294.523
1_17_2013-05-24,7963.789
1_17_2013-05-31,8104.719
1_17_2013-06-07,7141.6626
1_17_2013-06-14,7112.915
1_17_2013-06-21,7828.96
1_17_2013-06-28,7323.0527
1_17_2013-07-05,7693.0874
1_17_2013-07-12,6895.772
1_17_2013-07-19,7025.192
1_17_2013-07-26,8301.717
1_18_2012-11-02,11325.607
1_18_2012-11-09,7782.095
1_18_2012-11-16,13389.677
1_18_2012-11-23,29568.879
1_18_2012-11-30,46633.21
1_18_2012-12-07,43134.293
1_18_2012-12-14,30059.832
1_18_2012-12-21,26058.445
1_18_2012-12-28,18925.469
1_18_2013-01-04,8147.456
1_18_2013-01-11,4111.79
1_18_2013-01-18,6931.043
1_18_2013-01-25,2833.759
1_18_2013-02-01,4291.217
1_18_2013-02-08,8778.745
1_18_2013-02-15,18319.75
1_18_2013-02-22,4957.0312
1_18_2013-03-01,5768.423
1_18_2013-03-08,4526.0176
1_18_2013-03-15,1861.5961
1_18_2013-03-22,1236.345
1_18_2013-03-29,6511.583
1_18_2013-04-05,8855.1455
1_18_2013-04-12,3648.791
1_18_2013-04-19,270.178
1_18_2013-04-26,-1582.9877
1_18_2013-05-03,366.4443
1_18_2013-05-10,-153.50983
1_18_2013-05-17,1274.4575
1_18_2013-05-24,797.66174
1_18_2013-06-07,-473.28693
1_18_2013-07-05,-272.6275
1_19_2012-11-02,971.021
1_19_2012-11-09,1039.9164
1_19_2012-11-16,741.7988
1_19_2012-11-23,2009.214
1_19_2012-11-30,874.5514
1_19_2012-12-07,-184.64377
1_19_2012-12-14,2336.2114
1_19_2012-12-21,2875.799
1_19_2012-12-28,3453.1006
1_19_2013-01-04,1893.1478
1_19_2013-01-11,164.24287
1_19_2013-01-18,1868.9205
1_19_2013-01-25,1640.5914
1_19_2013-02-01,1933.4369
1_19_2013-02-08,2280.282
1_19_2013-02-15,891.33795
1_19_2013-02-22,12.965041
1_19_2013-03-01,2124.159
1_19_2013-03-08,1238.0381
1_19_2013-03-15,1405.5137
1_19_2013-03-22,334.6735
1_19_2013-03-29,1021.90466
1_19_2013-04-05,1463.9307
1_19_2013-04-12,151.49716
1_19_2013-04-19,935.48785
1_19_2013-04-26,1029.0704
1_19_2013-05-03,1581.5154
1_19_2013-05-10,362.94125
1_19_2013-05-17,1419.9758
1_19_2013-05-24,1029.8207
1_19_2013-05-31,1207.1389
1_19_2013-06-07,455.69745
1_19_2013-06-14,862.60724
1_19_2013-06-21,1226.4949
1_19_2013-06-28,502.18152
1_19_2013-07-05,1554.83
1_19_2013-07-12,-3.444954
1_19_2013-07-19,596.2749
1_19_2013-07-26,1329.1418
1_20_2012-11-02,3445.0127
1_20_2012-11-09,3489.684
1_20_2012-11-16,3589.0686
1_20_2012-11-23,6651.201
1_20_2012-11-30,4341.1924
1_20_2012-12-07,2697.0383
1_20_2012-12-14,5744.4346
1_20_2012-12-21,4717.1406
1_20_2012-12-28,6574.13
1_20_2013-01-04,5478.073
1_20_2013-01-11,4505.934
1_20_2013-01-18,5281.361
1_20_2013-01-25,4680.9243
1_20_2013-02-01,5102.524
1_20_2013-02-08,6513.01
1_20_2013-02-15,4204.989
1_20_2013-02-22,4811.333
1_20_2013-03-01,6013.8687
1_20_2013-03-08,5498.5483
1_20_2013-03-15,5023.0977
1_20_2013-03-22,3567.882
1_20_2013-03-29,4949.2437
1_20_2013-04-05,4796.4424
1_20_2013-04-12,3241.6836
1_20_2013-04-19,4012.0552
1_20_2013-04-26,4376.8174
1_20_2013-05-03,4933.1685
1_20_2013-05-10,3683.5386
1_20_2013-05-17,5150.892
1_20_2013-05-24,5206.735
1_20_2013-05-31,5568.9404
1_20_2013-06-07,5109.079
1_20_2013-06-14,5103.5137
1_20_2013-06-21,5514.3423
1_20_2013-06-28,5004.531
1_20_2013-07-05,5926.96
1_20_2013-07-12,4126.729
1_20_2013-07-19,4869.551
1_20_2013-07-26,5715.575
1_21_2012-11-02,7835.3857
1_21_2012-11-09,7765.8584
1_21_2012-11-16,7503.867
1_21_2012-11-23,9636.78
1_21_2012-11-30,8141.0835
1_21_2012-12-07,8964.311
1_21_2012-12-14,12644.721
1_21_2012-12-21,13055.055
1_21_2012-12-28,9529.894
1_21_2013-01-04,8061.3657
1_21_2013-01-11,7025.477
1_21_2013-01-18,7367.595
1_21_2013-01-25,6960.9873
1_21_2013-02-01,7109.093
1_21_2013-02-08,8376.127
1_21_2013-02-15,6783.673
1_21_2013-02-22,7218.4146
1_21_2013-03-01,8459.41
1_21_2013-03-08,8143.9937
1_21_2013-03-15,7756.816
1_21_2013-03-22,6310.529
1_21_2013-03-29,8137.13
1_21_2013-04-05,8081.49
1_21_2013-04-12,6486.4277
1_21_2013-04-19,6799.335
1_21_2013-04-26,6851.4043
1_21_2013-05-03,6754.609
1_21_2013-05-10,5720.4653
1_21_2013-05-17,6866.08
1_21_2013-05-24,6479.286
1_21_2013-05-31,6484.463
1_21_2013-06-07,6116.016
1_21_2013-06-14,6453.4023
1_21_2013-06-21,6963.6357
1_21_2013-06-28,6306.2544
1_21_2013-07-05,7436.7847
1_21_2013-07-12,5985.412
1_21_2013-07-19,6520.623
1_21_2013-07-26,7385.5024
1_22_2012-11-02,8236.355
1_22_2012-11-09,7910.163
1_22_2012-11-16,7518.3467
1_22_2012-11-23,18131.467
1_22_2012-11-30,8344.472
1_22_2012-12-07,10305.088
1_22_2012-12-14,12787.271
1_22_2012-12-21,17806.383
1_22_2012-12-28,10568.09
1_22_2013-01-04,9509.507
1_22_2013-01-11,8272.941
1_22_2013-01-18,8010.0493
1_22_2013-01-25,7480.0166
1_22_2013-02-01,9409.119
1_22_2013-02-08,12019.523
1_22_2013-02-15,10779.481
1_22_2013-02-22,9235.5
1_22_2013-03-01,10283.696
1_22_2013-03-08,9057.093
1_22_2013-03-15,8872.809
1_22_2013-03-22,7191.1895
1_22_2013-03-29,7112.1616
1_22_2013-04-05,7868.74
1_22_2013-04-12,6578.278
1_22_2013-04-19,6617.575
1_22_2013-04-26,6122.9897
1_22_2013-05-03,6874.9976
1_22_2013-05-10,5487.28
1_22_2013-05-17,6870.715
1_22_2013-05-24,6429.08
1_22_2013-05-31,6755.4214
1_22_2013-06-07,6596.6504
1_22_2013-06-14,6838.6123
1_22_2013-06-21,7001.6694
1_22_2013-06-28,6678.323
1_22_2013-07-05,8015.5117
1_22_2013-07-12,6852.2085
1_22_2013-07-19,7770.337
1_22_2013-07-26,8235.443
1_23_2012-11-02,23529.008
1_23_2012-11-09,21422.97
1_23_2012-11-16,21379.377
1_23_2012-11-23,30396.002
1_23_2012-11-30,22820.398
1_23_2012-12-07,28409.576
1_23_2012-12-14,36177.516
1_23_2012-12-21,52668.99
1_23_2012-12-28,22565.916
1_23_2013-01-04,20386.568
1_23_2013-01-11,16691.75
1_23_2013-01-18,17772.068
1_23_2013-01-25,15105.275
1_23_2013-02-01,18745.758
1_23_2013-02-08,22288.273
1_23_2013-02-15,21011.492
1_23_2013-02-22,18493.547
1_23_2013-03-01,20551.246
1_23_2013-03-08,19032.121
1_23_2013-03-15,19459.537
1_23_2013-03-22,18429.562
1_23_2013-03-29,18377.494
1_23_2013-04-05,19983.78
1_23_2013-04-12,19435.822
1_23_2013-04-19,19271.123
1_23_2013-04-26,17941.39
1_23_2013-05-03,19418.732
1_23_2013-05-10,17623.21
1_23_2013-05-17,20521.379
1_23_2013-05-24,20885.93
1_23_2013-05-31,21981.771
1_23_2013-06-07,22155.59
1_23_2013-06-14,26178.799
1_23_2013-06-21,26944.666
1_23_2013-06-28,22535.102
1_23_2013-07-05,22431.932
1_23_2013-07-12,19216.617
1_23_2013-07-19,19198.305
1_23_2013-07-26,20370.219
1_24_2012-11-02,6984.7983
1_24_2012-11-09,6124.9717
1_24_2012-11-16,5988.321
1_24_2012-11-23,10307.811
1_24_2012-11-30,7397.4297
1_24_2012-12-07,8860.439
1_24_2012-12-14,10957.653
1_24_2012-12-21,12676.189
1_24_2012-12-28,4126.639
1_24_2013-01-04,7134.317
1_24_2013-01-11,3772.6301
1_24_2013-01-18,3881.0027
1_24_2013-01-25,3296.2434
1_24_2013-02-01,5342.223
1_24_2013-02-08,7813.737
